"As notas do Kindle para:",,,
"SHERLOCK HOLMES: DAS GETUPFTE BAND UND ANDERE DETEKTIVGESCHICHTEN (SHERLOCK HOLMES REIHE 1) (GERMAN EDITION)",,,
"de Arthur Conan Doyle",,,
"Visualização instantânea gratuita do Kindle:",,,
"https://a.co/bVmDpUj",,,
----------------------------------------------,,,
,,,
"Tipo de anotação","Posição","Com estrelas?","Anotação"
"Destaque (Amarelo)","Página 5","","zog"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","zündete"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","warf."
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","saß"
"Nota","Página 5","","N"
"Destaque (Amarelo)","Página 5","","las,"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","rieb"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","hinausjagen!«"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","wandte"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","legte"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","bot"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 5","","gelten?"
"Nota","Página 5","","V"
"Destaque (Amarelo)","Página 6","","kam"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","verweigerte."
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","überfahren"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","unterbrach"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","stand"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","eilte"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","hörte"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","fiel"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","verschwand"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","drang"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","konnte."
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","hatte"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","griff"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","blieb"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 6","","haften,"
"Nota","Página 6","","V"
"Destaque (Amarelo)","Página 7","","ausließ,"
"Nota","Página 7","","V"
"Destaque (Amarelo)","Página 7","","folgte"
"Nota","Página 7","","V"
"Destaque (Amarelo)","Página 7","","angeht,"
"Nota","Página 7","","V"
"Destaque (Amarelo)","Página 7","","wegzulegen,"
"Nota","Página 7","","V"
"Destaque (Amarelo)","Página 7","","überflog"
"Nota","Página 7","","V"
"Destaque (Amarelo)","Página 8","","bezeichnen,"
"Nota","Página 8","","V"
"Destaque (Amarelo)","Página 8","","entsinnen,"
"Nota","Página 8","","V"
"Destaque (Amarelo)","Página 8","","fiel"
"Nota","Página 8","","V"
"Nota","Página 8","","V"
"Destaque (Amarelo)","Página 9","","kannte"
"Nota","Página 9","","V"
"Destaque (Amarelo)","Página 9","","begleiten"
"Nota","Página 9","","V"
"Destaque (Amarelo)","Página 9","","bewundern,"
"Nota","Página 9","","V"
"Destaque (Amarelo)","Página 10","","vorgelegten"
"Nota","Página 10","","V"
"Destaque (Amarelo)","Página 11","","musterte"
"Nota","Página 11","","V"
"Destaque (Amarelo)","Página 11","","beugte."
"Nota","Página 11","","V"
"Destaque (Amarelo)","Página 11","","Mit dem Ausdruck höchsten Erstaunens starrte die Fremde meinen Freund an."
"Destaque (Amarelo)","Página 14","","Während seines Aufenthalts in Indien heiratete Dr. Roylott meine Mutter,"
"Destaque (Amarelo)","Página 14","","gab"
"Destaque (Amarelo)","Página 14","","Versuche"
"Destaque (Amarelo)","Página 14","","auf,"
"Destaque (Amarelo)","Página 14","","Hinterlassenschaft"
"Destaque (Amarelo)","Página 14","","Bedürfnisse"
"Destaque (Amarelo)","Página 14","","reichlich"
"Destaque (Amarelo)","Página 14","","deckte,"
